ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
919,240000,1,1,2,46,0,0,0,0,0,0,471814,478380,395612,386295,356206,352257,16044,15087,12000,15000,12000,12000,0
15821,30000,2,1,2,27,2,0,0,0,0,0,23575,24584,25885,26851,26808,27599,1400,1700,1900,557,1000,2000,0
21188,330000,1,1,1,35,-1,-1,-1,-1,-1,-1,3888,14704,2533,10664,1560,34847,14782,2544,10715,1566,34865,7273,0
23376,110000,2,2,2,31,0,0,0,0,0,0,7398,2009,1651,1823,1208,0,1500,1177,1000,550,0,790,0
8951,350000,1,1,1,30,-2,-2,-2,-2,-2,-2,51672,31250,29178,29180,52550,43538,13113,12110,15044,32244,40218,112406,0
15364,240000,2,2,1,42,-1,-1,-1,-1,-1,-1,1986,1323,329,9228,7776,7500,1323,329,9228,7776,7500,635,0
24776,20000,1,2,2,46,0,0,0,0,2,0,11027,12038,13064,14888,14352,14652,1199,1225,2049,0,531,537,0
18839,320000,2,2,2,27,0,0,2,0,0,0,180137,192621,178390,180346,178832,182860,17100,0,8000,7000,7000,6000,0
18439,50000,2,1,2,23,0,0,0,0,-1,-1,47160,51034,50204,44580,4712,3914,5000,4000,1010,5504,5500,5000,0
18465,80000,2,1,2,23,-1,-1,-2,-2,-1,-1,1178,2550,182,-2194,2188,6424,2550,1026,1350,4382,6443,5438,0
3843,50000,1,2,2,24,0,0,0,0,0,0,5219,6475,7483,7709,7934,8242,1500,1274,500,500,440,450,0
9036,420000,2,2,2,25,-1,2,0,0,0,-2,2804,2615,3392,4392,-796,-796,0,1000,1000,0,0,20500,0
10003,340000,1,2,1,35,1,-2,-2,-2,-2,-2,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0
23838,360000,2,2,2,54,0,0,0,0,0,0,217936,202845,177252,165622,167824,156851,8880,7992,5627,5554,5456,5445,0
29741,620000,1,2,2,31,-2,-2,-2,-2,-2,-2,5712,11598,21049,13846,3565,7076,11881,21171,13915,3583,7111,1971,0
1375,50000,1,2,2,24,-1,-1,-1,-1,0,-1,2155,0,1978,14207,8602,7201,0,30300,14207,602,7201,383,0
20086,80000,2,3,1,49,0,0,0,0,0,0,79967,75920,73968,71919,59894,59405,2700,2875,3000,3000,4000,2500,0
23532,200000,2,3,2,45,-2,-2,-2,-2,-2,-2,0,10221,1356,0,984,134,10221,1356,0,984,134,81,0
16318,50000,2,5,2,36,0,0,0,0,0,0,46277,42207,20361,17527,17318,17738,2058,1265,5000,700,700,800,0
11934,50000,2,1,1,43,0,0,0,0,2,0,49390,50612,29975,30559,29433,30045,2449,1778,2382,0,1251,1051,0
24420,260000,1,1,1,34,-2,-2,-2,-2,-2,-2,-40,-40,-40,8117,-8,-8,0,0,8157,0,0,1673,0
24190,200000,1,2,2,28,0,0,0,-1,-1,-1,99216,100142,34162,712,712,862,5300,3000,8712,712,862,704,0
21232,150000,1,1,1,44,-1,-1,-1,-1,-1,0,4825,3003,6164,3370,7279,4445,3018,6201,3386,7299,1166,5,0
16537,500000,1,2,2,26,0,0,0,0,0,0,126725,128206,129327,130136,127699,124623,6005,6005,6094,4161,5021,4350,0
29882,390000,1,2,1,37,0,0,0,0,0,0,174603,178087,185212,187648,192538,198828,6379,10000,7001,8001,10000,10000,0
6223,50000,2,2,2,32,0,0,0,0,0,0,36211,28530,20084,18088,18476,20168,1709,2004,7497,671,2000,6100,0
8382,60000,1,2,1,46,-1,0,-1,0,0,0,3046,286,6466,6469,5364,3664,285,6466,3,5,10,15219,0
19376,200000,2,2,2,35,0,0,0,0,2,0,104393,108956,109339,113799,75536,66643,6300,4588,6910,30,2375,9577,0
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
6481,110000,2,2,1,24,1,-1,0,0,0,0,-1256,65064,66102,54275,51791,52928,68500,3114,4016,2000,2000,2000,0
7490,200000,2,3,1,40,0,0,0,0,0,2,158809,150904,144302,137700,135443,128229,5380,5141,5032,9400,4400,0,0
18244,20000,1,3,2,49,3,2,2,2,0,0,16066,15516,18047,17326,17326,17680,0,3100,0,400,354,2000,0
20138,310000,2,1,1,43,0,0,-1,0,0,0,112343,25349,21033,19033,9588,5222,3023,21033,1000,192,104,87268,0
1200,360000,1,1,1,36,-2,-1,-1,-1,-2,-2,0,394,11142,0,0,0,394,11253,0,0,0,0,0
3858,50000,2,2,2,28,0,0,0,2,0,0,43747,44488,47342,46326,46358,45283,1746,3600,0,1666,1559,1551,0
12366,280000,1,1,2,28,-1,-1,-1,-1,0,0,4468,11517,1973,11028,14261,17097,11525,2149,11030,4008,7106,1193,0
21298,50000,1,1,1,63,-1,-1,2,-1,-1,-1,264,528,264,264,264,264,528,0,264,264,264,264,0
23320,130000,2,2,2,31,0,0,0,0,0,0,95292,97544,99208,102946,103750,105818,4600,4000,5300,3700,3600,3700,0
18677,500000,2,1,2,29,-1,0,0,0,0,0,14217,33651,33134,34571,36003,37416,20000,18000,20000,20000,20007,20007,0
11108,260000,1,1,2,34,0,0,0,0,-2,-2,254332,257628,161545,0,0,0,11710,7503,0,0,0,195603,0
1455,30000,1,2,2,26,0,0,0,0,0,0,33195,32705,32406,32167,31728,31061,1600,1500,1500,1300,1261,1003,0
20246,80000,2,5,1,52,2,0,0,0,0,0,79822,77747,77733,78017,29599,26927,2773,3236,2000,2000,1000,1500,0
375,180000,1,1,1,46,0,0,0,0,0,0,173267,174590,175233,106288,28089,178719,8100,5299,3305,5040,160719,7000,0
26533,70000,2,2,1,62,0,0,0,0,0,0,57271,56269,56333,29288,29524,29764,2857,2702,1500,1100,1100,1150,0
14796,10000,1,2,1,31,0,0,0,2,0,0,6106,7199,10215,9943,9758,9335,1200,4442,0,1200,1200,0,0
10868,30000,1,1,2,25,0,0,-2,-2,-2,-2,7833,0,0,0,0,0,0,0,0,0,0,0,0
11484,100000,2,1,2,28,0,0,0,0,0,0,16601,14414,11307,11139,11361,9816,1539,1124,495,500,758,0,0
18289,360000,1,3,1,56,-1,-1,-1,-1,-1,-1,22000,7746,1198,2087,1026,1026,7772,1198,2097,1026,1026,1019,0
7013,180000,1,3,2,29,-2,-2,-2,-2,-2,-1,4358,3160,2611,8710,5127,8758,3169,2618,8736,5142,8766,15040,0
24259,20000,1,2,2,31,-1,-1,-1,2,0,0,5380,0,184,184,5932,7725,0,184,0,5924,2000,2451,0
27242,30000,1,2,1,42,2,0,0,0,0,0,29492,29329,30720,29204,28219,28501,1488,1879,1624,900,900,900,0
10416,110000,1,1,2,29,0,0,0,0,0,0,18166,18364,19742,23886,29949,34969,3000,3500,5500,10000,6000,10000,0
29342,50000,1,2,2,28,0,0,2,2,0,0,5281,7025,7758,8459,8635,7473,2000,1000,1000,282,1000,500,0
29148,350000,2,2,1,56,-2,-2,-2,-2,-2,-2,1966,14440,13176,9399,10477,10775,14515,13316,9446,10529,10829,12876,0
14556,170000,2,2,1,36,0,0,0,0,0,0,158651,143801,138145,125499,124205,123940,5428,4707,4400,4450,4650,4500,0
8626,150000,2,2,2,23,-2,-1,-1,0,0,0,27414,10053,151996,152753,153844,151252,10096,156292,4700,5019,5300,5002,0
6528,80000,2,2,1,49,1,2,2,2,2,2,42053,40185,42887,31745,32211,25836,0,3500,0,4500,0,1500,0
7372,140000,2,2,2,36,0,0,2,2,0,0,134783,142708,143475,136331,135778,135910,12800,5000,0,5100,5000,5000,0
11883,50000,1,1,1,38,0,0,0,0,0,0,21912,22939,23647,24118,24729,25267,1685,1393,864,1000,950,936,0
29856,80000,1,3,2,44,1,2,0,0,0,2,58606,57076,58358,58992,62696,64148,0,2800,2200,4700,2600,0,0
13898,80000,1,2,1,54,1,3,2,2,2,0,47339,47270,46037,48457,47722,48678,967,0,3012,0,1569,1396,0
22433,120000,2,3,1,47,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
24893,130000,1,2,2,38,0,0,0,0,2,0,16657,17874,18776,20858,20225,21396,1500,1500,2400,0,1500,1500,0
17868,60000,1,1,2,28,-1,0,0,0,0,0,40784,41723,42665,43254,43757,44378,2001,2001,1690,1501,1617,1502,0
25373,200000,2,1,1,32,-2,-2,-2,-2,-2,-2,14202,0,505,0,0,0,0,505,0,0,0,4950,0
4314,50000,2,2,2,28,0,0,-1,0,0,-1,47132,22104,983,23594,7428,29039,1651,984,23001,5001,30001,8599,0
4656,100000,2,1,1,46,0,0,0,2,0,0,39245,41602,47885,46817,48400,51588,3000,7000,0,2500,4000,0,0
16045,80000,2,3,1,26,0,0,0,2,2,0,6808,8686,11628,12008,11658,12603,2000,3100,1000,0,1000,2000,0
8230,500000,1,1,1,42,0,0,0,0,0,0,580928,597793,597415,569034,551702,568638,25624,21898,20851,19599,26000,20000,0
25932,390000,2,2,2,36,0,0,0,0,0,0,112528,102596,91761,76756,65520,52904,3669,3277,3220,2236,2007,1600,0
23606,210000,2,2,1,48,-1,-1,-1,-1,-1,-1,1417,-3,355,12816,0,102,0,358,12816,0,102,210,0
18051,240000,1,2,2,46,0,0,0,0,0,0,47379,49274,51171,52716,54229,56191,3000,3000,3000,3000,3000,3000,0
2225,450000,1,1,1,38,-1,-1,-1,-1,-1,-1,10591,7923,57139,15181,7247,13890,7964,57425,15257,7283,13959,11139,0
11316,450000,2,1,2,40,-1,-1,-1,-1,-2,-2,9612,19253,6665,0,0,0,19293,6665,0,0,0,8768,0
3731,80000,2,3,1,52,2,0,0,-1,0,0,82198,80531,42334,39137,39074,40103,3543,1139,40003,2000,2100,24,0
26615,20000,1,2,2,23,3,2,2,-1,2,2,18781,13255,0,20358,18044,20325,0,0,20358,0,2577,0,0
11708,150000,2,2,2,24,1,2,0,0,0,0,170971,165806,146001,113907,115578,111863,39,6000,3937,4077,4504,23066,0
15339,150000,2,2,1,36,0,0,0,0,0,0,339351,133681,100683,147127,79942,71976,7000,3500,3000,5242,3009,4000,0
21178,300000,1,3,2,31,0,0,0,0,0,0,80928,82690,84462,86263,87238,89176,4000,4000,4100,3300,3500,3500,0
28446,100000,2,2,1,47,0,0,0,0,0,0,24735,27555,29798,31028,33544,35328,3555,3000,2028,3354,2328,7300,0
6297,110000,1,2,2,27,0,0,0,0,0,0,103550,105089,107164,105988,108617,103497,6000,6000,4000,5000,4000,4000,0
15342,170000,2,2,2,30,0,0,0,0,0,0,106667,103955,85601,82963,58547,57080,3458,3426,2711,1779,1940,2000,0
10727,140000,1,1,2,35,0,0,0,0,0,0,142119,142362,142292,99399,101677,100867,6000,6982,3500,3800,3700,4000,0
19063,140000,2,1,2,29,0,0,0,0,0,0,130261,95550,96273,91059,92609,95184,3474,4000,4000,3500,8000,5000,0
25411,140000,2,1,2,27,0,0,0,0,0,0,128656,126785,129752,132554,268084,137061,6000,6500,6500,5000,5000,5568,0
11585,170000,2,1,1,30,2,2,2,2,2,2,158819,161487,157577,168094,170922,166972,6500,0,13000,5500,1000,7000,0
19710,80000,2,2,1,34,0,0,-1,-1,0,0,8413,4942,989,2799,2818,3638,1029,1225,2799,2000,2000,2000,0
28325,30000,2,1,2,30,0,0,0,0,0,0,29009,28432,18191,9745,9545,13964,1315,1522,1200,0,6000,10655,0
23434,190000,2,2,2,44,0,0,0,0,0,0,162051,168517,169675,171908,153857,153988,17917,7601,7602,6010,6010,6001,0
21932,120000,2,1,2,27,0,0,0,0,0,0,35238,35907,31513,31659,30069,8005,1777,2254,1400,800,400,6262,0
18116,170000,1,1,2,48,0,0,0,-1,0,0,6203,9932,-157264,166969,164040,166416,5079,0,332809,6000,6000,6100,0
2096,150000,2,2,1,36,0,0,0,2,0,0,83853,87227,96253,93562,96510,63417,5000,11700,0,5000,2500,5000,0
12301,80000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,641,658,2019,0,0,641,658,2019,0,0,0
23993,50000,1,2,2,24,0,0,0,0,0,0,46521,47597,48799,41286,16764,16960,2150,2352,1239,717,585,589,0
475,120000,2,2,1,32,-1,-1,-1,-1,-1,-1,4158,2682,0,6440,0,5930,2682,0,6440,0,5930,5120,0
25665,170000,2,2,2,25,0,0,2,0,0,0,57198,59379,28679,29215,19415,19531,3200,2000,3000,10000,2000,0,0
20849,50000,1,3,2,39,0,0,-1,-1,2,0,34617,34390,810,19009,18035,18364,1000,810,51000,0,1000,1000,0
22294,200000,2,2,1,29,0,0,0,0,0,0,74566,73700,73624,73928,72060,72393,3213,3304,3815,3004,3006,4012,0
483,70000,2,2,2,28,0,0,0,0,-1,2,41264,41799,37887,37876,6736,4162,2112,1200,758,6736,0,0,0
13312,150000,2,1,2,28,-1,-1,2,-1,-1,2,1159,2468,1159,1159,11476,10249,2468,0,1159,11476,0,2034,0
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
2677,120000,1,1,1,51,0,0,2,0,0,0,125702,130461,131281,128594,117561,116732,8300,4500,4260,4595,4311,4280,0
24475,200000,1,1,1,36,-1,-1,-1,-1,-1,-1,1990,1186,4078,3000,3849,4479,1186,4092,3000,3849,4479,8120,0
1342,200000,2,1,1,34,-2,-2,-2,-2,-2,-2,267,6794,10430,3576,2522,934,6817,10671,3576,2522,934,7764,0
21629,70000,2,2,2,24,0,0,0,0,2,0,12954,14425,18171,20861,20231,22831,2000,4000,3000,0,3100,3000,0
8215,300000,2,2,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
17773,70000,2,3,3,58,0,0,0,0,0,0,70012,67714,68412,69016,69701,70898,2418,2500,2456,2500,3000,2533,0
27344,120000,1,1,2,31,-1,-1,-1,-1,-1,-2,15665,2647,10293,3600,0,0,2647,10363,3600,0,0,0,0
8408,50000,2,1,2,28,2,2,2,2,2,2,31336,32039,32714,32482,33807,34398,1500,1500,600,2000,1300,1500,0
21605,110000,2,2,2,25,0,0,0,0,0,0,80374,81652,47291,43857,45684,40994,3000,3000,2173,3000,3500,1538,0
18435,150000,2,2,2,23,-1,-1,-1,0,0,0,330,330,63917,59865,59258,57924,330,63917,2100,2100,2200,2200,0
14906,90000,2,6,3,46,0,0,0,0,0,0,77263,26691,21066,20422,20327,13619,8333,1494,600,1000,1000,257,0
16981,150000,2,3,2,24,0,0,0,0,-1,-1,66347,15768,10874,4466,2125,4421,1827,1777,1175,2125,4421,21607,0
8126,300000,2,2,1,50,0,0,0,0,0,0,23436,22055,18497,8426,11291,14449,1350,2008,301,3000,5000,5000,0
2960,280000,2,3,2,33,-1,-1,-1,-1,-1,-1,2186,2186,2184,2542,2186,2109,2196,2194,2554,2196,2119,17555,0
26849,70000,1,3,1,46,1,2,2,2,2,2,30040,29258,31137,32855,33316,34137,0,2352,2531,1300,1500,0,0
18162,20000,1,2,2,32,0,0,0,-1,0,-1,14549,11292,7120,8115,2594,1610,1306,3045,10000,0,1610,0,0
3082,280000,2,2,1,36,0,0,0,0,0,0,101803,100836,96333,97475,100652,1823,5005,7066,10000,5000,1823,4225,0
25738,60000,2,2,1,29,-1,-1,-1,-1,-1,-1,1033,2076,26,3742,3352,3570,2081,26,4822,3352,3570,1799,0
18972,210000,2,1,2,28,0,-1,0,0,-1,0,9918,6942,24680,41291,10623,10765,6942,24000,22000,20000,5000,3000,0
22546,200000,2,1,2,31,1,-1,-1,-1,-1,-1,0,6372,2180,6605,970,0,6372,2182,6605,970,0,0,0
24496,280000,1,2,1,48,0,0,0,0,0,0,127636,128334,116879,117912,118998,116067,4300,5000,4300,3729,3800,4500,0
19411,350000,2,1,2,35,-2,-2,-2,-2,-2,-1,8526,10892,9218,9834,1458,5225,10951,9274,4711,1472,5251,68361,0
16805,80000,1,2,1,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,3000,0,0,0,0,0,0
17326,30000,2,3,1,32,0,0,0,0,0,0,30096,30287,28823,26799,25457,26143,1494,1445,1506,912,1097,1000,0
13943,360000,2,1,2,33,-1,-1,-2,-1,-1,-2,7831,0,0,764,0,2844,0,0,764,0,2844,2219,0
10855,280000,1,2,1,48,0,0,0,0,-2,-2,74267,54500,5520,0,0,0,3110,1200,0,0,0,0,0
6534,20000,1,2,2,27,0,-1,0,-1,-1,-2,1955,2530,1845,3169,240,930,2535,1205,3274,630,1080,0,0
12371,360000,2,1,2,30,-1,-1,-1,-1,-1,-1,11193,332,272,1465,18503,5151,332,272,1465,18503,5151,0,0
7833,180000,2,2,2,30,0,0,0,0,0,0,43779,44213,44561,45130,47790,48222,1751,1712,1894,4000,1837,1711,0
3554,40000,2,1,2,27,0,0,-1,-1,0,0,32228,38904,4235,87230,72647,65070,8040,4235,87230,3000,10000,4317,0
16366,300000,2,1,2,35,-1,-1,-1,-1,-1,-1,103,344,891,889,889,739,344,891,889,889,739,1807,0
26909,170000,1,1,1,38,-1,-1,-1,-1,-1,-1,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2599,0
9983,30000,2,2,1,54,-1,-1,-1,-1,-1,-1,3334,3366,890,2662,1542,-2695,3366,890,2662,1542,0,6000,0
17994,220000,1,3,2,42,0,0,0,0,0,0,26595,33330,36720,40729,44762,48914,9000,5000,5000,5000,5000,5000,0
27261,130000,1,1,1,29,0,0,0,0,0,0,71051,67664,66258,62697,48210,46255,3000,3000,6000,2000,2000,2000,0
20865,190000,1,2,1,45,0,0,0,0,0,0,82764,63105,55282,50864,48782,49241,5000,2600,2000,3000,5000,2000,0
14091,470000,2,1,1,46,0,0,0,2,0,0,42974,45277,54321,52932,46712,45537,3000,10000,0,6000,5000,10000,0
14635,310000,1,1,2,28,0,0,0,0,0,0,153620,147023,127390,129886,130676,127738,6603,4600,4507,4027,4025,4018,0
19471,30000,2,2,1,31,1,2,0,0,2,0,20494,19867,21045,24681,23985,25099,0,1500,4000,0,1500,6000,0
24214,70000,1,3,2,28,0,0,0,0,0,0,71199,49042,47087,28596,4465,3204,2507,3024,2122,0,0,48459,0
295,130000,1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1500,0
683,230000,2,1,1,35,0,0,0,0,-2,-2,4259,5432,6182,0,0,0,1250,1000,0,0,0,0,0
1803,300000,2,3,1,31,-1,-1,-1,-1,-1,-1,331,331,331,331,-1,199,332,332,332,0,200,0,0
24950,130000,1,1,2,43,0,0,0,0,0,0,121816,124223,62318,64214,44840,45969,6000,6000,3000,2000,2000,2000,0
20950,10000,1,2,2,31,-1,-1,-1,-1,-1,-2,390,390,0,780,0,0,390,0,780,0,0,0,0
10455,140000,1,2,2,31,0,0,0,0,0,0,64300,62758,77133,71397,71546,83412,20009,32637,15027,10021,20055,10037,0
22653,360000,2,2,1,34,-1,0,0,-1,-1,-2,4874,9561,5866,1297,0,0,5000,1166,1297,0,0,0,0
15436,20000,1,2,2,23,0,0,0,2,0,0,13284,13987,15958,16168,16268,16600,1229,2200,900,500,332,2000,0
12412,240000,1,1,2,43,-2,-2,-2,-2,-2,-2,5740,0,0,0,0,0,0,0,0,0,0,0,0
15362,470000,2,2,2,36,-1,-1,-1,-1,0,-1,9,89,0,157,157,205430,1960,0,157,0,205430,130,0
9319,200000,2,3,1,41,2,0,0,0,0,0,199802,195038,129415,88682,74132,71281,9231,4872,2894,2637,2591,2410,0
11479,500000,1,1,1,44,-1,0,0,-2,-2,-2,35755,72000,0,0,0,0,40000,0,0,0,0,11621,0
29928,220000,1,1,2,38,0,0,0,0,0,0,159322,164176,167028,170480,173818,177556,7500,7000,6500,6000,6000,10000,0
5830,10000,2,1,2,22,0,0,0,0,0,0,9397,9709,10228,10432,9839,9859,1200,1153,357,501,429,196,0
25284,60000,2,3,1,23,2,0,0,0,0,0,60406,57491,59137,59345,29399,29339,2055,2570,1620,1020,1050,1080,0
29212,50000,1,2,2,22,0,0,0,0,-1,0,51159,51699,50584,20480,9413,9712,3000,2650,2100,10000,600,500,0
23120,80000,2,5,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20682,50000,1,2,2,28,0,0,0,0,0,0,16889,17868,18028,38126,18690,19082,1271,1711,20809,668,692,740,0
20116,280000,2,1,1,37,-1,-1,-2,-1,-1,-1,8909,3173,13947,7676,6155,3695,3571,14080,7742,6178,3711,6056,0
15274,150000,2,1,2,27,-1,-1,-1,-1,0,-1,8404,4493,11848,7435,3685,3545,4493,11848,7435,0,3545,5718,0
27292,420000,1,1,1,40,-1,-1,-1,2,2,-2,4110,-150,6254,6023,0,0,0,6404,20,0,0,0,0
199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0
26660,50000,1,2,2,25,0,0,2,2,-1,-1,47077,48872,16012,14228,19546,19473,2800,0,1644,63965,705,798,0
14887,230000,2,3,1,37,1,-2,-2,-2,-1,-1,0,0,0,0,2533,0,0,0,0,2533,0,500,0
5810,360000,1,1,2,31,-1,-1,-1,-1,-1,-1,15285,52698,2875,6918,10014,6478,53751,2879,6918,10014,6478,42108,0
6378,30000,2,3,2,26,0,0,0,0,-1,-1,27594,29717,28812,28762,10404,8578,2595,1200,1020,10404,51000,0,0
16094,290000,2,1,2,35,0,0,0,0,0,0,190453,194303,197076,197488,196976,196579,8100,7000,8400,7000,7500,7500,0
5132,210000,2,2,2,34,-1,-1,-1,-1,-1,-1,8547,2987,4571,3265,8623,5907,2996,4584,3274,8648,5924,15748,0
10585,50000,2,3,2,54,0,0,0,0,0,0,48065,48968,47368,9515,9483,9292,2082,1672,500,500,355,264,0
8137,340000,2,1,2,33,-1,-1,-1,-1,-1,-1,592,7102,7796,1653,6185,415,7102,7796,1653,6185,415,2247,0
3579,360000,2,1,2,28,1,-1,-1,-1,-1,-2,0,420,0,742,0,0,420,0,742,0,0,198,0
4692,80000,2,1,2,25,-1,-1,-2,-2,-2,-2,1672,0,0,0,0,0,0,0,0,0,0,0,0
1634,80000,2,1,2,38,-2,-2,-2,-2,-2,-2,1927,446,909,1740,2190,518,446,909,1740,2190,518,5062,0
25248,60000,2,2,2,23,1,2,0,0,0,0,59866,58114,25127,21111,15892,16762,0,3761,1600,881,900,852,0
29614,200000,1,1,1,39,0,0,0,0,0,0,192257,192560,198501,194782,191172,193267,7004,10061,7071,6514,7081,10121,0
20254,170000,2,2,1,51,0,-1,-1,-1,0,0,9773,4101,3866,14894,6833,6972,4146,3866,14894,137,139,3029,0
7614,240000,1,2,2,37,0,0,0,0,0,0,171974,175049,176990,169198,166131,169245,8000,7000,6000,5200,5400,5400,0
